EXPORTED CROSS SECTION DATA
318 2 2
x coordinate
Potential
0.0000000000e+00 9.7439949998e-01 
1.1200000000e-03 9.7428020453e-01 
2.0000000000e-03 9.7418871223e-01 
3.1200000000e-03 9.7408406387e-01 
4.0000000000e-03 9.7400064686e-01 
5.1200000000e-03 9.7389405696e-01 
6.0000000000e-03 9.7380998014e-01 
7.1200000000e-03 9.7370206500e-01 
8.0000000000e-03 9.7361721687e-01 
9.1200000000e-03 9.7350863252e-01 
1.0000000000e-02 9.7342335794e-01 
1.1120000000e-02 9.7331444889e-01 
1.2000000000e-02 9.7322896124e-01 
1.3120000000e-02 9.7311990572e-01 
1.4000000000e-02 9.7303432091e-01 
1.5120000000e-02 9.7292522215e-01 
1.6000000000e-02 9.7283960868e-01 
1.7120000000e-02 9.7273054748e-01 
1.8000000000e-02 9.7264495954e-01 
1.9120000000e-02 9.7253603453e-01 
2.0000000000e-02 9.7245053855e-01 
2.1120000000e-02 9.7234191442e-01 
2.2000000000e-02 9.7225662153e-01 
2.3120000000e-02 9.7214860940e-01 
2.4000000000e-02 9.7206372951e-01 
2.5120000000e-02 9.7195693839e-01 
2.6000000000e-02 9.7187288242e-01 
2.7120000000e-02 9.7176851599e-01 
2.8000000000e-02 9.7168609586e-01 
2.9120000000e-02 9.7158653942e-01 
3.0000000000e-02 9.7150736347e-01 
3.1120000000e-02 9.7141734893e-01 
3.2000000000e-02 9.7134460550e-01 
3.3120000000e-02 9.7127352845e-01 
3.4000000000e-02 9.7121354072e-01 
3.5120000000e-02 9.7118008169e-01 
3.6000000000e-02 9.7114539584e-01 
3.7120000000e-02 9.7118677795e-01 
3.8000000000e-02 9.7120230550e-01 
3.9120000000e-02 9.7139297690e-01 
4.0000000000e-02 9.7150823571e-01 
4.1120000000e-02 9.7199801740e-01 
4.2000000000e-02 9.7231156829e-01 
4.3120000000e-02 9.7340480408e-01 
4.4000000000e-02 9.7411283759e-01 
4.5120000000e-02 9.7643337918e-01 
4.6000000000e-02 9.7792255757e-01 
4.7120000000e-02 9.8271389550e-01 
4.8000000000e-02 9.8569960365e-01 
4.9120000000e-02 9.9468476931e-01 
5.0000000000e-02 1.0001701726e+00 
5.1080000000e-02 1.0021812129e+00 
5.1920000000e-02 1.0036876201e+00 
5.3000000000e-02 1.0041477930e+00 
5.3850000000e-02 1.0045406649e+00 
5.4920000000e-02 1.0046548291e+00 
5.5770000000e-02 1.0047608573e+00 
5.6850000000e-02 1.0047892165e+00 
5.7690000000e-02 1.0048167937e+00 
5.8770000000e-02 1.0048207611e+00 
5.9620000000e-02 1.0048243751e+00 
6.0690000000e-02 1.0048207956e+00 
6.1540000000e-02 1.0048166332e+00 
6.2620000000e-02 1.0048114421e+00 
6.3460000000e-02 1.0048056150e+00 
6.4540000000e-02 1.0048024480e+00 
6.5380000000e-02 1.0047989005e+00 
6.6460000000e-02 1.0048027047e+00 
6.7310000000e-02 1.0048068497e+00 
6.8390000000e-02 1.0048284274e+00 
6.9230000000e-02 1.0048518073e+00 
7.0310000000e-02 1.0049200864e+00 
7.1150000000e-02 1.0049922827e+00 
7.2230000000e-02 1.0051980938e+00 
7.3080000000e-02 1.0054061618e+00 
7.4150000000e-02 1.0060855983e+00 
7.5000000000e-02 1.0067250179e+00 
7.5870000000e-02 1.0090112798e+00 
7.6970000000e-02 1.0117073290e+00 
7.7540000000e-02 1.0168717813e+00 
7.8260000000e-02 1.0239090820e+00 
7.8630000000e-02 1.0315364399e+00 
7.9100000000e-02 1.0437996080e+00 
7.9340000000e-02 1.0516231946e+00 
7.9640000000e-02 1.0665480334e+00 
7.9800000000e-02 1.0726736031e+00 
8.0000000000e-02 1.0861019025e+00 
8.0180000000e-02 1.0932092226e+00 
8.0400000000e-02 1.1103568863e+00 
8.0580000000e-02 1.1162910615e+00 
8.0800000000e-02 1.1300436575e+00 
8.0980000000e-02 1.1343687123e+00 
8.1200000000e-02 1.1438387609e+00 
8.1380000000e-02 1.1467545981e+00 
8.1600000000e-02 1.1528303285e+00 
8.1780000000e-02 1.1547106066e+00 
8.2000000000e-02 1.1584749818e+00 
8.2180000000e-02 1.1596571231e+00 
8.2400000000e-02 1.1619487008e+00 
8.2580000000e-02 1.1626813632e+00 
8.2800000000e-02 1.1640641518e+00 
8.2980000000e-02 1.1645146729e+00 
8.3200000000e-02 1.1653456305e+00 
8.3380000000e-02 1.1656214722e+00 
8.3600000000e-02 1.1661199645e+00 
8.3780000000e-02 1.1662883855e+00 
8.4000000000e-02 1.1665872324e+00 
8.4180000000e-02 1.1666897151e+00 
8.4400000000e-02 1.1668687276e+00 
8.4580000000e-02 1.1669306298e+00 
8.4800000000e-02 1.1670375790e+00 
8.4980000000e-02 1.1670743012e+00 
8.5200000000e-02 1.1671377142e+00 
8.5380000000e-02 1.1671585424e+00 
8.5600000000e-02 1.1671954135e+00 
8.5780000000e-02 1.1672058772e+00 
8.6000000000e-02 1.1672262832e+00 
8.6180000000e-02 1.1672295865e+00 
8.6400000000e-02 1.1672394378e+00 
8.6580000000e-02 1.1672373183e+00 
8.6800000000e-02 1.1672399916e+00 
8.6980000000e-02 1.1672332265e+00 
8.7200000000e-02 1.1672305274e+00 
8.7380000000e-02 1.1672192208e+00 
8.7600000000e-02 1.1672119434e+00 
8.7780000000e-02 1.1671956750e+00 
8.8000000000e-02 1.1671839154e+00 
8.8180000000e-02 1.1671617977e+00 
8.8400000000e-02 1.1671451159e+00 
8.8580000000e-02 1.1671157852e+00 
8.8800000000e-02 1.1670932667e+00 
8.8980000000e-02 1.1670548221e+00 
8.9200000000e-02 1.1670250698e+00 
8.9380000000e-02 1.1669749623e+00 
8.9600000000e-02 1.1669360315e+00 
8.9780000000e-02 1.1668709005e+00 
9.0000000000e-02 1.1668201816e+00 
9.0180000000e-02 1.1667356297e+00 
9.0400000000e-02 1.1666696726e+00 
9.0580000000e-02 1.1665599628e+00 
9.0800000000e-02 1.1664742321e+00 
9.0980000000e-02 1.1663318832e+00 
9.1200000000e-02 1.1662204234e+00 
9.1380000000e-02 1.1660356710e+00 
9.1600000000e-02 1.1658906514e+00 
9.1780000000e-02 1.1656507254e+00 
9.2000000000e-02 1.1654618194e+00 
9.2180000000e-02 1.1651499694e+00 
9.2400000000e-02 1.1649035036e+00 
9.2580000000e-02 1.1644976728e+00 
9.2800000000e-02 1.1641754504e+00 
9.2980000000e-02 1.1636464554e+00 
9.3200000000e-02 1.1632241171e+00 
9.3380000000e-02 1.1625331215e+00 
9.3600000000e-02 1.1619778431e+00 
9.3780000000e-02 1.1610728225e+00 
9.4000000000e-02 1.1603400577e+00 
9.4180000000e-02 1.1591508082e+00 
9.4400000000e-02 1.1581796575e+00 
9.4580000000e-02 1.1566107084e+00 
9.4800000000e-02 1.1553173098e+00 
9.4980000000e-02 1.1532378441e+00 
9.5200000000e-02 1.1515059372e+00 
9.5380000000e-02 1.1487355095e+00 
9.5600000000e-02 1.1464029986e+00 
9.5780000000e-02 1.1426914676e+00 
9.6000000000e-02 1.1395314086e+00 
9.6180000000e-02 1.1345310919e+00 
9.6400000000e-02 1.1302251446e+00 
9.6580000000e-02 1.1234541985e+00 
9.6800000000e-02 1.1175567568e+00 
9.6980000000e-02 1.1083634073e+00 
9.7200000000e-02 1.1002566681e+00 
9.7380000000e-02 1.0878258845e+00 
9.7600000000e-02 1.0766687578e+00 
9.7780000000e-02 1.0601079705e+00 
9.8000000000e-02 1.0447708674e+00 
9.8180000000e-02 1.0231462688e+00 
9.8400000000e-02 1.0021065840e+00 
9.8580000000e-02 9.7433541323e-01 
9.8800000000e-02 9.4563914808e-01 
9.8980000000e-02 9.1045256426e-01 
9.9200000000e-02 8.7195981962e-01 
9.9380000000e-02 8.2791464913e-01 
9.9600000000e-02 7.7725927415e-01 
9.9780000000e-02 7.2273273633e-01 
1.0000000000e-01 6.5742775706e-01 
1.0000000000e-01 6.5742775706e-01 
1.0018000000e-01 6.0112396139e-01 
1.0040000000e-01 5.2576429272e-01 
1.0058000000e-01 4.6891729450e-01 
1.0080000000e-01 3.8928564715e-01 
1.0098000000e-01 3.3396479824e-01 
1.0120000000e-01 2.5552821225e-01 
1.0138000000e-01 2.0347269058e-01 
1.0160000000e-01 1.2967035710e-01 
1.0178000000e-01 8.2018520650e-02 
1.0200000000e-01 1.4612281639e-02 
1.0218000000e-01 -2.8020926016e-02 
1.0240000000e-01 -8.8319054908e-02 
1.0258000000e-01 -1.2569336978e-01 
1.0280000000e-01 -1.7876261758e-01 
1.0298000000e-01 -2.1088635330e-01 
1.0320000000e-01 -2.5692622037e-01 
1.0338000000e-01 -2.8396996426e-01 
1.0360000000e-01 -3.2335497567e-01 
1.0378000000e-01 -3.4560276400e-01 
1.0400000000e-01 -3.7881033320e-01 
1.0418000000e-01 -3.9665644145e-01 
1.0440000000e-01 -4.2423650071e-01 
1.0458000000e-01 -4.3823308494e-01 
1.0480000000e-01 -4.6080080452e-01 
1.0498000000e-01 -4.7164376311e-01 
1.0520000000e-01 -4.8987383595e-01 
1.0538000000e-01 -4.9825415787e-01 
1.0560000000e-01 -5.1285403790e-01 
1.0578000000e-01 -5.1935073233e-01 
1.0600000000e-01 -5.3099843619e-01 
1.0618000000e-01 -5.3606023853e-01 
1.0640000000e-01 -5.4534490094e-01 
1.0658000000e-01 -5.4930951829e-01 
1.0680000000e-01 -5.5671383241e-01 
1.0698000000e-01 -5.5983384051e-01 
1.0720000000e-01 -5.6574356158e-01 
1.0738000000e-01 -5.6820869591e-01 
1.0760000000e-01 -5.7292958848e-01 
1.0778000000e-01 -5.7488360715e-01 
1.0800000000e-01 -5.7865770491e-01 
1.0818000000e-01 -5.8021057335e-01 
1.0840000000e-01 -5.8322968713e-01 
1.0858000000e-01 -5.8446627806e-01 
1.0880000000e-01 -5.8688270571e-01 
1.0898000000e-01 -5.8786903533e-01 
1.0920000000e-01 -5.8980393228e-01 
1.0938000000e-01 -5.9059168102e-01 
1.0960000000e-01 -5.9214158918e-01 
1.0978000000e-01 -5.9277142538e-01 
1.1000000000e-01 -5.9401337926e-01 
1.1018000000e-01 -5.9451796408e-01 
1.1040000000e-01 -5.9551454014e-01 
1.1058000000e-01 -5.9593342005e-01 
1.1082000000e-01 -5.9676166472e-01 
1.1101000000e-01 -5.9710636179e-01 
1.1125000000e-01 -5.9778840864e-01 
1.1145000000e-01 -5.9806949331e-01 
1.1171000000e-01 -5.9862582792e-01 
1.1191000000e-01 -5.9885290261e-01 
1.1218000000e-01 -5.9930226155e-01 
1.1239000000e-01 -5.9948395725e-01 
1.1267000000e-01 -5.9984326971e-01 
1.1290000000e-01 -5.9998725732e-01 
1.1318000000e-01 -6.0027162909e-01 
1.1342000000e-01 -6.0038464561e-01 
1.1372000000e-01 -6.0060738313e-01 
1.1396000000e-01 -6.0069527205e-01 
1.1427000000e-01 -6.0086794268e-01 
1.1453000000e-01 -6.0093570690e-01 
1.1486000000e-01 -6.0106823033e-01 
1.1512000000e-01 -6.0112009546e-01 
1.1546000000e-01 -6.0122086004e-01 
1.1574000000e-01 -6.0126034530e-01 
1.1609000000e-01 -6.0133634284e-01 
1.1638000000e-01 -6.0136633668e-01 
1.1675000000e-01 -6.0142330896e-01 
1.1705000000e-01 -6.0144614668e-01 
1.1743000000e-01 -6.0148873721e-01 
1.1775000000e-01 -6.0150627764e-01 
1.1815000000e-01 -6.0153818290e-01 
1.1847000000e-01 -6.0155188208e-01 
1.1889000000e-01 -6.0157599717e-01 
1.1923000000e-01 -6.0158697696e-01 
1.1966000000e-01 -6.0160553171e-01 
1.2002000000e-01 -6.0161464204e-01 
1.2047000000e-01 -6.0162932464e-01 
1.2084000000e-01 -6.0163719847e-01 
1.2131000000e-01 -6.0164926479e-01 
1.2170000000e-01 -6.0165636551e-01 
1.2219000000e-01 -6.0166673333e-01 
1.2259000000e-01 -6.0167339449e-01 
1.2310000000e-01 -6.0168272267e-01 
1.2352000000e-01 -6.0168918060e-01 
1.2406000000e-01 -6.0169793392e-01 
1.2449000000e-01 -6.0170435371e-01 
1.2505000000e-01 -6.0171285472e-01 
1.2550000000e-01 -6.0171935053e-01 
1.2608000000e-01 -6.0172781990e-01 
1.2656000000e-01 -6.0173447034e-01 
1.2716000000e-01 -6.0174305754e-01 
1.2765000000e-01 -6.0174991710e-01 
1.2828000000e-01 -6.0175872308e-01 
1.2880000000e-01 -6.0176583030e-01 
1.2945000000e-01 -6.0177492389e-01 
1.2999000000e-01 -6.0178230713e-01 
1.3067000000e-01 -6.0179173650e-01 
1.3123000000e-01 -6.0179941792e-01 
1.3194000000e-01 -6.0180921837e-01 
1.3253000000e-01 -6.0181721650e-01 
1.3327000000e-01 -6.0182741574e-01 
1.3387000000e-01 -6.0183574713e-01 
1.3465000000e-01 -6.0184636853e-01 
1.3528000000e-01 -6.0185504883e-01 
1.3609000000e-01 -6.0186611345e-01 
1.3674000000e-01 -6.0187515787e-01 
1.3758000000e-01 -6.0188668548e-01 
1.3827000000e-01 -6.0189610886e-01 
1.3915000000e-01 -6.0190811804e-01 
1.3986000000e-01 -6.0191793418e-01 
1.4077000000e-01 -6.0193044094e-01 
1.4152000000e-01 -6.0194066028e-01 
1.4247000000e-01 -6.0195367334e-01 
1.4325000000e-01 -6.0196429640e-01 
1.4424000000e-01 -6.0197780360e-01 
1.4505000000e-01 -6.0198880608e-01 
1.4608000000e-01 -6.0200273876e-01 
1.4692000000e-01 -6.0201408625e-01 
1.4800000000e-01 -6.0202829241e-01 
1.4888000000e-01 -6.0204079034e-01 
1.5000000000e-01 -6.0205712203e-01 
